country,year,life_ladder,log_gdp_per_capita,social_support,life_expec,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect,confidence_in_national_government,democratic_quality,delivery_quality,standard_deviation_of_ladder_by_country_year,standard_deviation_mean_of_ladder_by_country_year,gini_index_world_bank_estimate,gini_index_world_bank_estimate_average_2000_15,gini_of_household_income_reported_in_gallup_by_wp5_year,continent,country_code,populacao_2020
Serbia,2017,5.122031211853027,9.561537742614746,0.8837704062461853,65.68487548828125,0.6848463416099548,-0.0814155861735344,0.8514578342437744,0.5097212195396423,0.3264070749282837,0.5111979842185974,NA,NA,2.3945095539093018,0.4674921929836273,NA,0.30589999999999995,0.3661297559738159,Europe,688,8737.369999999999
Sierra Leone,2017,4.08956241607666,7.253018379211426,0.6522871255874634,44.38652801513672,0.7106135487556458,0.08922567963600159,0.8483983278274536,0.6003682017326355,0.49504002928733826,0.7375169396400452,NA,NA,2.595259189605713,0.6346055865287781,NA,0.371,0.5835860967636108,Africa,694,7976.984999999999
Singapore,2017,6.3784379959106445,11.317049980163574,0.8973498940467834,75.8124008178711,0.9261278510093689,0.12041155248880386,0.16179068386554718,0.8001143932342529,0.17932455241680145,0.9269979596138,NA,NA,1.41807222366333,0.22232280671596527,NA,NA,0.5649095773696899,Asia,702,5850.342999999999
Slovakia,2017,6.365509033203125,10.313941955566406,0.9133866429328918,68.77391052246094,0.7142246961593628,-0.07207684218883514,0.9204226732254028,0.7880204319953918,0.21272248029708862,0.3416800796985626,NA,NA,1.89752197265625,0.2980943024158478,NA,0.2674545454545455,0.2925880551338196,Europe,703,5459.643
Slovenia,2017,6.166837692260742,10.353516578674316,0.9281878471374512,70.94329071044922,0.9208626747131348,-0.0334751158952713,0.8287947177886963,0.6151096820831299,0.2856014370918274,0.23977972567081451,NA,NA,1.9823006391525269,0.3214452564716339,NA,0.2490909090909091,0.35924413800239563,Europe,705,2078.9320000000007
South Africa,2017,4.513655185699463,9.405202865600586,0.870313286781311,55.22930908203125,0.7874279022216797,-0.13925622403621674,0.86478191614151,0.7848007082939148,0.26817524433135986,0.4232742190361023,NA,NA,2.419569492340088,0.5360554456710815,NA,0.6224999999999999,0.5650374889373779,Africa,710,59308.69
South Korea,2017,5.873887062072754,10.489734649658203,0.8069299459457397,74.04169464111328,0.5381137132644653,0.0033545938786119223,0.8506904244422913,0.6233775615692139,0.23482562601566315,0.35858219861984253,NA,NA,2.0757296085357666,0.3533826172351837,NA,0.319,0.39361223578453064,Asia,410,51269.18299999999
South Sudan,2017,2.816622495651245,NA,0.556822657585144,50.020172119140625,0.4560110867023468,NA,0.7612696290016174,0.5856021642684937,0.5173637866973877,0.4615505039691925,NA,NA,2.73683762550354,0.9716735482215881,NA,0.46299999999999997,0.7030075788497925,Africa,728,11193.729
Spain,2017,6.230173110961914,10.445222854614258,0.9031581878662109,74.49821472167969,0.7555607557296753,-0.04215625301003456,0.7912687659263611,0.6250556111335754,0.30238765478134155,0.2695859670639038,NA,NA,1.8057217597961426,0.2898349165916443,NA,0.3445454545454546,0.3789495527744293,Europe,724,46754.78300000001
Sri Lanka,2017,4.3309454917907715,9.377954483032227,0.8227705955505371,65.29253387451172,0.8270773887634277,0.08457723259925842,0.8442100286483765,0.7949516177177429,0.26972752809524536,0.5175899267196655,NA,NA,2.2303760051727295,0.5149859189987183,NA,0.39225,0.4272969663143158,Asia,144,21413.25
